measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,157,Yemen,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,9252.323433366557,14201.595004855044,5297.27777586604
1,Deaths,157,Yemen,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,10651.202842574974,15972.53340304258,6161.582198769557
1,Deaths,140,Bahrain,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,51.17546495280106,66.25576782003999,37.82542990981523
1,Deaths,140,Bahrain,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,34.06754980468247,46.28717882559419,23.942754211725926
1,Deaths,146,Lebanon,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1981,1106.4844753191712,1429.17557761203,785.7037187688416
1,Deaths,146,Lebanon,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1981,1022.0255229363671,1361.6797334552743,720.4339192073703
1,Deaths,157,Yemen,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1983,8961.23165556367,13722.868547615524,5340.527889030304
1,Deaths,157,Yemen,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1983,10315.42613434077,15273.468816548635,5824.8865129882915
1,Deaths,151,Qatar,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1982,48.37806597212835,68.50826211357261,28.71881351931575
1,Deaths,151,Qatar,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1982,23.01675357212359,31.847430856398567,14.66636239512575
1,Deaths,147,Libya,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1981,1023.74691500691,1535.3503511703127,590.5721927953676
1,Deaths,147,Libya,2,Female,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1981,989.2323673189929,1478.0113565414733,573.7344082995007
1,Deaths,141,Egypt,1,Male,22,All ages,956,Respiratory infections and tuberculosis,1,Number,1980,41510.42763195558,56289.05879952309,28149.807133729053
