measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,154,Tunisia,1,Male,8,15-19 years,956,Respiratory infections and tuberculosis,1,Number,2013,13.974687610484205,20.30773466687884,7.914820450465138
1,Deaths,154,Tunisia,2,Female,8,15-19 years,956,Respiratory infections and tuberculosis,1,Number,2013,10.589717396535413,14.897350209686175,7.363160081021785
1,Deaths,154,Tunisia,1,Male,9,20-24 years,956,Respiratory infections and tuberculosis,1,Number,2013,21.61341187954707,29.60521761348288,13.00592671723575
1,Deaths,154,Tunisia,2,Female,9,20-24 years,956,Respiratory infections and tuberculosis,1,Number,2013,16.379945482106802,23.198126470581585,11.437546599662682
1,Deaths,154,Tunisia,1,Male,11,30-34 years,956,Respiratory infections and tuberculosis,1,Number,2013,42.28975058660132,56.83594495189009,30.132482186319482
1,Deaths,154,Tunisia,2,Female,11,30-34 years,956,Respiratory infections and tuberculosis,1,Number,2013,23.307600736654926,32.338041757852935,15.943905192088653
1,Deaths,154,Tunisia,1,Male,12,35-39 years,956,Respiratory infections and tuberculosis,1,Number,2013,50.25538640748924,66.45084947848359,37.53159210887218
1,Deaths,154,Tunisia,2,Female,12,35-39 years,956,Respiratory infections and tuberculosis,1,Number,2013,27.305192779641086,37.858971475006896,18.79254512160336
1,Deaths,154,Tunisia,1,Male,13,40-44 years,956,Respiratory infections and tuberculosis,1,Number,2013,62.06410442255647,83.06390187757171,44.048224877962234
1,Deaths,154,Tunisia,2,Female,13,40-44 years,956,Respiratory infections and tuberculosis,1,Number,2013,31.021667606891672,42.3354932461409,21.459508966115095
1,Deaths,154,Tunisia,1,Male,14,45-49 years,956,Respiratory infections and tuberculosis,1,Number,2013,81.21089944021874,108.80829540250501,59.29230999629853
1,Deaths,154,Tunisia,2,Female,14,45-49 years,956,Respiratory infections and tuberculosis,1,Number,2013,41.32708433464094,56.99869820233939,28.141245296341737
1,Deaths,154,Tunisia,1,Male,15,50-54 years,956,Respiratory infections and tuberculosis,1,Number,2013,117.61041121414934,157.55957656991825,82.59176574834498
1,Deaths,154,Tunisia,2,Female,15,50-54 years,956,Respiratory infections and tuberculosis,1,Number,2013,54.76849593442868,74.87346306212702,37.81065699204664
1,Deaths,154,Tunisia,1,Male,23,5-14 years,956,Respiratory infections and tuberculosis,1,Number,2013,29.489527683994773,42.93008706460989,16.368951864018452
1,Deaths,154,Tunisia,2,Female,23,5-14 years,956,Respiratory infections and tuberculosis,1,Number,2013,25.60396443995207,36.23295753959227,17.96950754465394
1,Deaths,154,Tunisia,1,Male,25,50-69 years,956,Respiratory infections and tuberculosis,1,Number,2013,611.4643634683159,814.5611584052887,428.5339003748028
1,Deaths,154,Tunisia,2,Female,25,50-69 years,956,Respiratory infections and tuberculosis,1,Number,2013,290.86059922901546,398.2147189231997,194.80867691636055
1,Deaths,140,Bahrain,1,Male,8,15-19 years,956,Respiratory infections and tuberculosis,1,Number,2012,0.9528542958435018,1.3462106840819728,0.6432725580688692
1,Deaths,140,Bahrain,2,Female,8,15-19 years,956,Respiratory infections and tuberculosis,1,Number,2012,0.5153348233684295,0.7149103472745801,0.35582736683888205
1,Deaths,140,Bahrain,1,Male,9,20-24 years,956,Respiratory infections and tuberculosis,1,Number,2012,1.3896227200828877,1.9756851172629275,0.9180128575317013
1,Deaths,140,Bahrain,2,Female,9,20-24 years,956,Respiratory infections and tuberculosis,1,Number,2012,0.7411736832623007,1.0547163788152842,0.5260932758408653
1,Deaths,140,Bahrain,1,Male,11,30-34 years,956,Respiratory infections and tuberculosis,1,Number,2012,2.5010037776940472,3.3776872589987765,1.716333559824659
1,Deaths,140,Bahrain,2,Female,11,30-34 years,956,Respiratory infections and tuberculosis,1,Number,2012,0.9336970547712203,1.3334782618387981,0.6733555505065938
